age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-0.948,0.6341528272136587,0.4346712712519774,0.4251014499095264,0.8025033375996876,1,Pitch range,Prosodic
-0.947,0.6341532520210981,0.43467052669558975,0.42510225403827934,0.8025033965173125,1,Pitch range,Prosodic
-0.946,0.6341536768283287,0.4346697828783221,0.4251030578133927,0.802503455664523,1,Pitch range,Prosodic
-0.945,0.6341541016353506,0.4346690398001783,0.4251038612348642,0.8025035150413199,1,Pitch range,Prosodic
-0.944,0.6341545264421637,0.4346682974611621,0.4251046643026914,0.8025035746477043,1,Pitch range,Prosodic
-0.943,0.6341549512487683,0.4346675558612773,0.42510546701687213,0.8025036344836773,1,Pitch range,Prosodic
-0.942,0.6341553760551641,0.43466681500052773,0.4251062693774039,0.8025036945492399,1,Pitch range,Prosodic
-0.941,0.6341558008613511,0.4346660748789172,0.4251070713842842,0.802503754844393,1,Pitch range,Prosodic
-0.94,0.6341562256673297,0.43466533549644926,0.42510787303751124,0.8025038153691377,1,Pitch range,Prosodic
-0.939,0.6341566504730993,0.43466459685312797,0.42510867433708216,0.8025038761234751,1,Pitch range,Prosodic
-0.938,0.6341570752786603,0.43466385894895687,0.4251094752829948,0.802503937107406,1,Pitch range,Prosodic
-0.937,0.6341575000840126,0.4346631217839399,0.42511027587524697,0.8025039983209316,1,Pitch range,Prosodic
-0.936,0.6341579248891561,0.4346623853580807,0.42511107611383603,0.8025040597640527,1,Pitch range,Prosodic
-0.935,0.634158349694091,0.4346616496713831,0.42511187599876005,0.8025041214367705,1,Pitch range,Prosodic
-0.934,0.6341587744988171,0.4346609147238509,0.4251126755300163,0.8025041833390859,1,Pitch range,Prosodic
-0.933,0.6341591993033346,0.4346601805154876,0.42511347470760297,0.8025042454710001,1,Pitch range,Prosodic
-0.932,0.6341596241076434,0.4346594470462972,0.42511427353151726,0.8025043078325139,1,Pitch range,Prosodic
-0.931,0.6341600489117434,0.43465871431628345,0.42511507200175697,0.8025043704236282,1,Pitch range,Prosodic
-0.93,0.6341604737156347,0.4346579823254499,0.4251158701183199,0.8025044332443443,1,Pitch range,Prosodic
-0.929,0.6341608985193173,0.43465725107380043,0.4251166678812038,0.8025044962946629,1,Pitch range,Prosodic
